draft_year,draft_team,round,pick,player_name,position,gsis_id,pfr_player_id,reason
2019,DAL,7,241,Jalen Jelks,DE,00-0035314,JelkJa00,no_roster_snapshot_match_and_no_snap_count_match
2019,NYG,7,245,Chris Slayton,DT,00-0035004,SlayCh00,no_roster_snapshot_match_and_no_snap_count_match
2020,NYJ,4,125,James Morgan,QB,00-0036301,MorgJa00,no_roster_snapshot_match_and_no_snap_count_match
2020,NYJ,4,129,Cameron Clark,T,00-0036263,ClarCa00,no_roster_snapshot_match_and_no_snap_count_match
2020,NE,5,159,Justin Rohrwasser,K,00-0036161,RohrJu00,no_roster_snapshot_match_and_no_snap_count_match
2020,ARI,6,202,Evan Weaver,LB,00-0036381,WeavEv00,no_roster_snapshot_match_and_no_snap_count_match
2020,GB,6,209,Simon Stepaniak,T,00-0036242,StepSi00,no_roster_snapshot_match_and_no_snap_count_match
2020,TEN,7,224,Cole McDonald,QB,,McDoCo00,no_roster_snapshot_match_and_no_snap_count_match
2020,NE,7,230,Dustin Woodard,C,,WoodDu01,no_roster_snapshot_match_and_no_snap_count_match
2020,MIN,7,244,Nate Stanley,QB,00-0036279,StanNa00,no_roster_snapshot_match_and_no_snap_count_match
2020,MIN,7,249,Brian Cole II,S,00-0036353,ColeBr01,no_roster_snapshot_match_and_no_snap_count_match
2021,MIN,6,199,Jaylen Twyman,DL,00-0036651,TwymJa00,no_roster_snapshot_match_and_no_snap_count_match
2021,CAR,6,222,Thomas Fletcher,LS,00-0036574,FletTh00,no_roster_snapshot_match_and_no_snap_count_match
2021,CIN,7,235,Wyatt Hubert,DE,00-0036861,HubeWy00,no_roster_snapshot_match_and_no_snap_count_match
2021,NE,7,242,Tre Nixon,WR,00-0036536,NixoTr01,no_roster_snapshot_match_and_no_snap_count_match
2021,MIA,7,244,Gerrid Doaks,RB,00-0036578,DoakGe00,no_roster_snapshot_match_and_no_snap_count_match
2021,ARI,7,247,Michal Menet,OL,00-0036890,MeneMi00,no_roster_snapshot_match_and_no_snap_count_match
2021,TB,7,251,Chris Wilcox,DB,00-0036667,WilcCh00,no_roster_snapshot_match_and_no_snap_count_match
2022,CAR,3,94,Matt Corral,QB,00-0038132,CorrMa00,no_roster_snapshot_match_and_no_snap_count_match
2022,ATL,6,190,Justin Shaffer,OL,00-0037290,ShafJu00,no_roster_snapshot_match_and_no_snap_count_match
2022,NE,6,210,Chasen Hines,G,00-0037619,HineCh00,no_roster_snapshot_match_and_no_snap_count_match
2022,IND,6,216,Curtis Brooks,DT,00-0037309,BrooCu00,no_roster_snapshot_match_and_no_snap_count_match
2022,CLE,7,246,Dawson Deaton,OL,00-0037326,DeatDa00,no_roster_snapshot_match_and_no_snap_count_match
2022,TB,7,248,Andre Anthony,DE,00-0037328,AnthAn00,no_roster_snapshot_match_and_no_snap_count_match
2023,WAS,4,118,Braeden Daniels,OL,00-0039010,DaniBr00,no_roster_snapshot_match_and_no_snap_count_match
2023,MIN,7,222,DeWayne McBride,RB,00-0039046,McBrDe00,no_roster_snapshot_match_and_no_snap_count_match
2023,JAX,7,227,Raymond Vohasek,DT,,VohaRa00,no_roster_snapshot_match_and_no_snap_count_match
2023,IND,7,236,Jake Witt,OL,00-0038410,WittJa01,no_roster_snapshot_match_and_no_snap_count_match
2023,LAC,7,239,Max Duggan,QB,00-0038637,DuggMa00,no_roster_snapshot_match_and_no_snap_count_match
2023,JAX,7,240,Derek Parish,DL,00-0038638,PariDe00,no_roster_snapshot_match_and_no_snap_count_match
2024,MIN,4,108,Khyree Jackson,DB,,JackKh00,no_roster_snapshot_match_and_no_snap_count_match
2024,PIT,6,195,Ryan Watts,SAF,00-0039748,WattRy00,no_roster_snapshot_match_and_no_snap_count_match
2024,IND,6,201,Micah Abraham,CB,00-0039403,AbraMi00,no_roster_snapshot_match_and_no_snap_count_match
2024,BAL,6,218,Devin Leary,QB,00-0039801,LearDe00,no_roster_snapshot_match_and_no_snap_count_match
2024,NO,7,239,Josiah Ezirim,OT,00-0039428,EzirJo00,no_roster_snapshot_match_and_no_snap_count_match
2024,CAR,7,240,Michael Barrett,LB,00-0039429,BarrMi00,no_roster_snapshot_match_and_no_snap_count_match
2024,DAL,7,244,Justin Rogers,DL,00-0039432,RogeJu01,no_roster_snapshot_match_and_no_snap_count_match
2024,GB,7,245,Michael Pratt,QB,00-0039238,PratMi00,no_roster_snapshot_match_and_no_snap_count_match
2024,NYJ,7,257,Jaylen Key,SAF,00-0039802,KeyxJa00,no_roster_snapshot_match_and_no_snap_count_match
2025,LV,6,213,Tommy Mellott,QB,00-0040220,MellTo00,no_roster_snapshot_match_and_no_snap_count_match
2025,BUF,7,240,Kaden Prather,WR,,PratKa00,no_roster_snapshot_match_and_no_snap_count_match
